numberOfQuestion;numberOfCategory;question;answer1;answer2;answer3;answer4;correctAnswer;score
275;14;Care lege descrie fotonii ca fiind cuante ale luminii?;Legea lui Einstein;Legea lui Newton;Legea lui Ohm;Legea lui Arhimede;1;500000
276;14;Ce proces are loc în faza G2?;Pregătirea pentru diviziune;Fotosinteză;Evaporare;Difuzie;1;500000
277;14;Ce element are cel mai mare număr de izotopi?;Uraniu;Plumb;Oxigen;Azot;1;500000
278;14;Ce proces este asociat cu expresia genelor?;Sinteza proteinelor;Evaporare;Difuzie;Topire;1;500000
279;14;Care lege descrie echilibrul termodinamic?;Legea zero a termodinamicii;Legea lui Ohm;Legea lui Coulomb;Legea lui Newton;1;500000
280;14;Ce proces descrie ruperea spontană a simetriei în sistemele cuantice?;Decoerență;Rupere spontană a simetriei;Difuzie;Ionizare;2;500000
281;15;Care lege descrie legătura dintre entropie și informație?;Legea lui Boltzmann;Teoria informației a lui Shannon;Legea lui Newton;Legea lui Ohm;2;1000000
282;15;Ce proces stă la baza tehnologiei CRISPR?;Editarea genomului;Fotosinteză;Evaporare;Difuzie;1;1000000
283;15;Ce element are cea mai mare energie de ionizare?;Neon;Fluor;Heliu;Azot;3;1000000
284;15;Ce descrie superpoziția cuantică?;Existența simultană în mai multe stări;Evaporare;Diviziune celulară;Gravitație;1;1000000
285;15;Ce teorie descrie interacțiunea bosonului Higgs?;Modelul Standard;Legea lui Newton;Legea lui Ohm;Legile lui Kepler;1;1000000
286;15;Ce proces are loc în timpul emisiei de neutrini în stele?;Reacții nucleare;Fotosinteză;Difuzie;Evaporare;1;1000000
287;15;Care este cel mai stabil element transuranian?;Plutoniu;Curiu;Lawrenciu;Neptuniu;1;1000000
288;15;Ce descrie colapsul funcției de undă?;Măsurarea unui sistem cuantic;Evaporare;Diviziune celulară;Hidroliză;1;1000000
289;15;Ce teorie descrie modelul inflaționist al Universului?;Teoria inflației cosmice;Legea lui Newton;Legea lui Ohm;Legea lui Pascal;1;1000000
290;15;Ce are loc în timpul anihilării particulelor?;Transformarea în energie;Evaporare;Difuzie;Diviziune celulară;1;1000000
291;15;Ce are densitatea nucleară cea mai mare?;Uraniu;Materie neutronică;Plumb;Fier;2;1000000
292;15;Ce descrie încurcarea cuantică?;Corelarea stărilor la distanță;Evaporare;Difuzie;Gravitație;1;1000000
293;15;Ce teorie unifică interacțiunea electromagnetică și interacțiunea slabă?;Teoria electroslabă;Legea lui Newton;Legea lui Ohm;Legile lui Kepler;1;1000000
294;15;Ce proces stă la baza apariției vieții?;Evoluția chimică;Evaporare;Difuzie;Hidroliză;1;1000000
295;15;Ce element este utilizat în reacțiile de sinteză ale nucleelor supergrele?;Uraniu;Plumb;Fier;Oxigen;2;1000000
296;15;Ce descrie principiul holografic?;Conservarea informației pe limita sistemului;Evaporare;Difuzie;Diviziune celulară;1;1000000
297;15;Care lege descrie termodinamica găurilor negre?;Legea Bekenstein-Hawking;Legea lui Newton;Legea lui Ohm;Legea lui Coulomb;1;1000000
298;15;Ce proces este asociat cu fluctuațiile vidului?;Apariția particulelor virtuale;Evaporare;Difuzie;Hidroliză;1;1000000
299;15;Ce concept descrie interpretarea lumilor multiple?;Ramificarea cuantică a realităților;Gravitație;Transfer de căldură;Oxidare;1;1000000
300;15;Ce principiu fizic interzice existența a doi fermioni în aceeași stare cuantică?;Principiul lui Pauli;Principiul incertitudinii;Principiul superpoziției;Principiul corespondenței;1;1000000
